building_id;load_condition;mean_ec;shape_factor;temperature_correlation
Hog_office_Joey;Winter workdays;28139.62;0.84;Non-thermal sensitive
Hog_office_Josefina;Summer workdays;4488.85;0.78;Non-thermal sensitive
Hog_office_Josefina;Winter workdays;4688.91;0.75;Non-thermal sensitive
Hog_office_Lanell;Summer workdays;3642.78;0.5;Non-thermal sensitive
Hog_office_Lanell;Winter workdays;3762.93;0.49;Non-thermal sensitive
Hog_office_Lavon;Summer workdays;10761.44;1.36;Thermal sensitive
Hog_office_Lavon;Winter workdays;1442.26;1.02;Non-thermal sensitive
Hog_office_Leanne;Summer workdays;3342.25;0.75;Non-thermal sensitive
Hog_office_Leanne;Winter workdays;3413.01;0.74;Non-thermal sensitive
Hog_office_Leon;Summer workdays;177.93;0.43;Thermal sensitive
Hog_office_Leon;Winter workdays;182.88;0.51;Non-thermal sensitive
Hog_office_Lizzie;Summer workdays;2297.05;0.59;Non-thermal sensitive
Hog_office_Lizzie;Winter workdays;2246.14;0.65;Non-thermal sensitive
Hog_office_Mack;Summer workdays;2453.58;0.78;Thermal sensitive
Hog_office_Mack;Winter workdays;2154.95;0.8;Non-thermal sensitive
Hog_office_Man;Summer workdays;1609.21;0.81;Thermal sensitive
Hog_office_Man;Winter workdays;1509.94;0.79;Non-thermal sensitive
Hog_office_Mari;Summer workdays;1595.24;0.5;Thermal sensitive
Hog_office_Mari;Winter workdays;1052.72;0.62;Non-thermal sensitive
Hog_office_Marilyn;Summer workdays;989.09;0.78;Non-thermal sensitive
Hog_office_Marilyn;Winter workdays;734.74;0.81;Non-thermal sensitive
Hog_office_Marlena;Summer workdays;2430.81;0.24;Non-thermal sensitive
Hog_office_Marlena;Winter workdays;2505.41;0.24;Non-thermal sensitive
Hog_office_Marlene;Summer workdays;1400.25;0.44;Thermal sensitive
Hog_office_Marlene;Winter workdays;1166.62;0.45;Non-thermal sensitive
Hog_office_Mary;Summer workdays;854.11;0.55;Non-thermal sensitive
Hog_office_Mary;Winter workdays;934.91;0.51;Non-thermal sensitive
Hog_office_Merilyn;Summer workdays;847.77;0.85;Thermal sensitive
Hog_office_Merilyn;Winter workdays;627;0.87;Non-thermal sensitive
Hog_office_Migdalia;Summer workdays;922.65;0.6;Thermal sensitive
Hog_office_Migdalia;Winter workdays;844.14;0.61;Non-thermal sensitive
Hog_office_Mike;Summer workdays;1713.23;0.7;Non-thermal sensitive
Hog_office_Mike;Winter workdays;1772.02;0.7;Non-thermal sensitive
Hog_office_Miriam;Summer workdays;626.76;0.62;Thermal sensitive
Hog_office_Miriam;Winter workdays;557.71;0.56;Non-thermal sensitive
Hog_office_Myles;Summer workdays;1401.49;0.46;Non-thermal sensitive
Hog_office_Myles;Winter workdays;1437.91;0.51;Non-thermal sensitive
Hog_office_Nancie;Summer workdays;1783.64;0.53;Non-thermal sensitive
Hog_office_Nancie;Winter workdays;1787.74;0.43;Non-thermal sensitive
Hog_office_Napoleon;Summer workdays;3180.28;0.66;Non-thermal sensitive
Hog_office_Napoleon;Winter workdays;3393.16;0.63;Non-thermal sensitive
Hog_office_Nia;Summer workdays;53297.53;0.7;Thermal sensitive
Hog_office_Nia;Winter workdays;29507.85;0.75;Non-thermal sensitive
Hog_office_Patrick;Summer workdays;272.34;0.58;Thermal sensitive
Hog_office_Patrick;Winter workdays;245.74;0.57;Non-thermal sensitive
Hog_office_Randi;Summer workdays;2902.51;0.41;Thermal sensitive
Hog_office_Randi;Winter workdays;2057.18;0.56;Non-thermal sensitive
Hog_office_Richelle;Summer workdays;2185.34;0.6;Non-thermal sensitive
Hog_office_Richelle;Winter workdays;2250.12;0.58;Non-thermal sensitive
Hog_office_Roger;Summer workdays;6754.49;0.9;Non-thermal sensitive
Hog_office_Roger;Winter workdays;5536.67;0.92;Non-thermal sensitive
Hog_office_Rolando;Summer workdays;10683.81;0.9;Non-thermal sensitive
Hog_office_Rolando;Winter workdays;10909.71;0.9;Non-thermal sensitive
Hog_office_Sarah;Summer workdays;11025.48;0.88;Non-thermal sensitive
Hog_office_Sarah;Winter workdays;11104.96;0.89;Non-thermal sensitive
Hog_office_Shawna;Summer workdays;3699.23;0.43;Non-thermal sensitive
Hog_office_Shawna;Winter workdays;3918.95;0.41;Non-thermal sensitive
Hog_office_Shawnna;Summer workdays;11320.92;0.54;Thermal sensitive
Hog_office_Shawnna;Winter workdays;9357.01;0.57;Non-thermal sensitive
Hog_office_Sherrie;Summer workdays;1255.44;0.51;Thermal sensitive
Hog_office_Sherrie;Winter workdays;998.65;0.48;Non-thermal sensitive
Hog_office_Shon;Summer workdays;1883.06;0.69;Non-thermal sensitive
Hog_office_Shon;Winter workdays;1998.43;0.64;Non-thermal sensitive
Hog_office_Simon;Summer workdays;533.95;0.46;Non-thermal sensitive
Hog_office_Simon;Winter workdays;535.93;0.42;Thermal sensitive
Hog_office_Sonny;Summer workdays;6885.98;0.78;Thermal sensitive
Hog_office_Sonny;Winter workdays;5492.91;0.81;Non-thermal sensitive
Hog_office_Sung;Summer workdays;1238.83;0.77;Thermal sensitive
Hog_office_Sung;Winter workdays;1116.21;0.78;Non-thermal sensitive
Hog_office_Sydney;Summer workdays;3220.69;0.7;Non-thermal sensitive
Hog_office_Sydney;Winter workdays;3224.65;0.7;Non-thermal sensitive
Hog_office_Terry;Summer workdays;26981.18;0.77;Thermal sensitive
Hog_office_Terry;Winter workdays;11832.5;0.84;Non-thermal sensitive
Hog_office_Valda;Summer workdays;828.02;0.46;Non-thermal sensitive
Hog_office_Valda;Winter workdays;762;0.47;Non-thermal sensitive
Hog_office_Vera;Summer workdays;2844.87;0.49;Non-thermal sensitive
Hog_office_Vera;Winter workdays;3300.31;0.51;Thermal sensitive
Panther_office_Antonette;Summer workdays;2461.99;1.56;Thermal sensitive
Panther_office_Antonette;Winter workdays;3057.41;1.33;Non-thermal sensitive
Panther_office_Brent;Summer workdays;913.88;0.65;Non-thermal sensitive
Panther_office_Brent;Winter workdays;1195.23;0.6;Thermal sensitive
Panther_office_Catherine;Summer workdays;3238.75;0.65;Thermal sensitive
Panther_office_Catherine;Winter workdays;3904.8;0.66;Thermal sensitive
Panther_office_Christian;Summer workdays;2641.28;1.06;Non-thermal sensitive
Panther_office_Christian;Winter workdays;3226.6;1.17;Non-thermal sensitive
Panther_office_Clementine;Summer workdays;3604.58;0.78;Non-thermal sensitive
Panther_office_Clementine;Winter workdays;4484.49;0.74;Thermal sensitive
Panther_office_Danica;Summer workdays;507.1;0.59;Thermal sensitive
Panther_office_Danica;Winter workdays;379.25;0.65;Thermal sensitive
Panther_office_Garth;Summer workdays;5173.75;0.84;Non-thermal sensitive
Panther_office_Garth;Winter workdays;5269.1;0.79;Non-thermal sensitive
Panther_office_Graham;Summer workdays;5879.56;0.6;Non-thermal sensitive
Panther_office_Graham;Winter workdays;6810.57;0.57;Non-thermal sensitive
Panther_office_Hannah;Summer workdays;601.48;0.59;Thermal sensitive
Panther_office_Hannah;Winter workdays;448.83;0.69;Non-thermal sensitive
Panther_office_Jeane;Summer workdays;2112.25;0.59;Non-thermal sensitive
Panther_office_Jeane;Winter workdays;1437.59;0.68;Thermal sensitive
Panther_office_Jesus;Summer workdays;10369.38;0.6;Thermal sensitive
Panther_office_Jesus;Winter workdays;8273.68;0.63;Thermal sensitive
Panther_office_Karla;Summer workdays;2728.34;0.57;Non-thermal sensitive
Panther_office_Karla;Winter workdays;3828.6;0.72;Non-thermal sensitive
Panther_office_Kristen;Summer workdays;3450.65;0.9;Non-thermal sensitive
Panther_office_Kristen;Winter workdays;4385.96;0.95;Non-thermal sensitive
Panther_office_Larry;Summer workdays;4216.21;0.52;Thermal sensitive
Panther_office_Larry;Winter workdays;4133.56;0.61;Thermal sensitive
Panther_office_Lauretta;Summer workdays;15150.04;0.91;Thermal sensitive
Panther_office_Lauretta;Winter workdays;13194.65;0.88;Thermal sensitive
Panther_office_Lavinia;Summer workdays;1677.77;0.79;Non-thermal sensitive
Panther_office_Lavinia;Winter workdays;2152.59;0.82;Thermal sensitive
Panther_office_Lois;Summer workdays;12362.5;0.99;Non-thermal sensitive
Panther_office_Lois;Winter workdays;12215.43;0.97;Non-thermal sensitive
Panther_office_Otto;Summer workdays;16841.19;0.72;Thermal sensitive
Panther_office_Otto;Winter workdays;20082.32;0.73;Thermal sensitive
Panther_office_Patti;Summer workdays;40949.51;0.8;Non-thermal sensitive
Panther_office_Patti;Winter workdays;37849.51;0.82;Thermal sensitive
Panther_office_Ruthie;Summer workdays;9728.53;0.9;Non-thermal sensitive
Panther_office_Ruthie;Winter workdays;10084.41;0.91;Non-thermal sensitive
Panther_office_Shauna;Summer workdays;7969.77;0.55;Non-thermal sensitive
Panther_office_Shauna;Winter workdays;8713.98;0.56;Thermal sensitive
Panther_office_Taryn;Summer workdays;7781.63;0.74;Non-thermal sensitive
Panther_office_Taryn;Winter workdays;7896.23;0.74;Non-thermal sensitive
Panther_office_Valarie;Summer workdays;2497.87;0.89;Thermal sensitive
Panther_office_Valarie;Winter workdays;3318.84;0.97;Thermal sensitive
Peacock_office_Annie;Summer workdays;2072.8;0.56;Thermal sensitive
Peacock_office_Annie;Winter workdays;1954.58;0.65;Thermal sensitive
Peacock_office_Burl;Summer workdays;1346.2;0.87;Non-thermal sensitive
Peacock_office_Burl;Winter workdays;1478.24;0.89;Thermal sensitive
Peacock_office_Dara;Summer workdays;3621.26;0.57;Thermal sensitive
Peacock_office_Dara;Winter workdays;4310.65;0.58;Non-thermal sensitive
Peacock_office_Effie;Summer workdays;2334.35;0.62;Non-thermal sensitive
Peacock_office_Effie;Winter workdays;2216.87;0.58;Non-thermal sensitive
Peacock_office_Elton;Summer workdays;3706.12;0.83;Non-thermal sensitive
Peacock_office_Elton;Winter workdays;3950.22;0.83;Non-thermal sensitive
Peacock_office_Julian;Summer workdays;566.13;0.51;Non-thermal sensitive
Peacock_office_Julian;Winter workdays;618.79;0.51;Non-thermal sensitive
Peacock_office_Major;Summer workdays;4965.3;0.88;Non-thermal sensitive
Peacock_office_Major;Winter workdays;4850.08;0.85;Non-thermal sensitive
Peacock_office_Norman;Summer workdays;860.26;0.81;Non-thermal sensitive
Peacock_office_Norman;Winter workdays;920.79;0.79;Non-thermal sensitive
Rat_office_Adele;Summer workdays;10614.85;0.8;Non-thermal sensitive
Rat_office_Adele;Winter workdays;13996.27;0.79;Non-thermal sensitive
Rat_office_Annis;Summer workdays;4392.54;0.95;Thermal sensitive
Rat_office_Annis;Winter workdays;2925.55;0.97;Non-thermal sensitive
Rat_office_Arron;Summer workdays;1240.94;0.69;Thermal sensitive
Rat_office_Arron;Winter workdays;918.76;0.69;Non-thermal sensitive
Rat_office_Avis;Summer workdays;968.77;0.9;Thermal sensitive
Rat_office_Avis;Winter workdays;649.79;0.93;Non-thermal sensitive
Rat_office_Chris;Summer workdays;412.7;0.96;Thermal sensitive
Rat_office_Chris;Winter workdays;199.15;0.98;Non-thermal sensitive
Rat_office_Craig;Summer workdays;6437.17;0.96;Thermal sensitive
Rat_office_Craig;Winter workdays;4740.1;1.04;Non-thermal sensitive
Rat_office_Jacinta;Summer workdays;2682.55;0.91;Thermal sensitive
Rat_office_Jacinta;Winter workdays;2076.21;0.91;Non-thermal sensitive
Rat_office_Jamal;Summer workdays;493.13;0.73;Thermal sensitive
Rat_office_Jamal;Winter workdays;309.51;0.8;Thermal sensitive
Rat_office_Jeannie;Summer workdays;1230.22;0.65;Thermal sensitive
Rat_office_Jeannie;Winter workdays;1154.49;0.61;Thermal sensitive
Rat_office_Jessica;Summer workdays;4911.17;0.61;Thermal sensitive
Rat_office_Jessica;Winter workdays;3746.58;0.57;Non-thermal sensitive
Rat_office_Jill;Summer workdays;1597.32;0.71;Thermal sensitive
Rat_office_Jill;Winter workdays;1314.84;0.8;Thermal sensitive
Rat_office_Kasey;Summer workdays;2229.97;0.81;Thermal sensitive
Rat_office_Kasey;Winter workdays;1440.88;0.9;Thermal sensitive
Rat_office_Lora;Summer workdays;12042.84;0.45;Thermal sensitive
Rat_office_Lora;Winter workdays;11645.35;0.43;Thermal sensitive
Rat_office_Loyd;Summer workdays;1327.02;1.05;Thermal sensitive
Rat_office_Loyd;Winter workdays;1210.65;1.3;Non-thermal sensitive
Rat_office_Mei;Summer workdays;330.39;0.96;Thermal sensitive
Rat_office_Mei;Winter workdays;283.31;1;Thermal sensitive
Rat_office_Olivia;Summer workdays;177.6;0.94;Thermal sensitive
Rat_office_Olivia;Winter workdays;114.91;1.57;Non-thermal sensitive
Rat_office_Ramiro;Summer workdays;21080;0.54;Non-thermal sensitive
Rat_office_Ramiro;Winter workdays;24068.37;0.5;Thermal sensitive
Rat_office_Randy;Summer workdays;325.82;1.18;Non-thermal sensitive
Rat_office_Randy;Winter workdays;345.35;1.64;Thermal sensitive
Rat_office_Ronald;Summer workdays;1460.89;0.59;Thermal sensitive
Rat_office_Ronald;Winter workdays;1242.07;0.77;Thermal sensitive
Rat_office_Rosemary;Summer workdays;16797.03;0.67;Non-thermal sensitive
Rat_office_Rosemary;Winter workdays;16318.86;0.69;Thermal sensitive
Rat_office_Tracy;Summer workdays;830.36;0.95;Thermal sensitive
Rat_office_Tracy;Winter workdays;545.83;0.98;Thermal sensitive
Robin_office_Addie;Summer workdays;583.91;0.71;Thermal sensitive
Robin_office_Addie;Winter workdays;532.57;0.7;Thermal sensitive
Robin_office_Adolph;Summer workdays;666.29;0.74;Non-thermal sensitive
Robin_office_Adolph;Winter workdays;678.31;0.65;Thermal sensitive
Robin_office_Antonina;Summer workdays;10905.76;0.73;Thermal sensitive
Robin_office_Antonina;Winter workdays;10296.35;0.74;Non-thermal sensitive
Robin_office_Dina;Summer workdays;952.61;0.65;Non-thermal sensitive
Robin_office_Dina;Winter workdays;931.64;0.65;Non-thermal sensitive
Robin_office_Donald;Summer workdays;4028.06;0.73;Thermal sensitive
Robin_office_Donald;Winter workdays;4326.67;0.69;Thermal sensitive
Robin_office_Gayle;Summer workdays;1503.91;0.57;Non-thermal sensitive
Robin_office_Gayle;Winter workdays;1724.51;0.57;Non-thermal sensitive
Robin_office_Lindsay;Summer workdays;1488.19;0.69;Thermal sensitive
Robin_office_Lindsay;Winter workdays;1646.55;0.65;Non-thermal sensitive
Robin_office_Maryann;Summer workdays;5943.04;0.75;Thermal sensitive
Robin_office_Maryann;Winter workdays;5744.17;0.74;Thermal sensitive
Robin_office_Sammie;Summer workdays;2032.55;0.67;Non-thermal sensitive
Robin_office_Sammie;Winter workdays;2202.59;0.61;Thermal sensitive
