building_id;load_condition;mean_ec;shape_factor;temperature_correlation
Bear_education_Zandra;Summer workdays;23581.86;0.93;Non-thermal sensitive
Bear_education_Zandra;Winter workdays;23522.69;0.93;Non-thermal sensitive
Bull_education_Annette;Summer workdays;3184.85;0.88;Thermal sensitive
Bull_education_Annette;Winter workdays;3071.69;0.89;Non-thermal sensitive
Bull_education_Antonia;Summer workdays;11837.19;0.92;Non-thermal sensitive
Bull_education_Antonia;Winter workdays;10977.81;0.87;Non-thermal sensitive
Bull_education_Arthur;Summer workdays;9889.16;0.86;Non-thermal sensitive
Bull_education_Arthur;Winter workdays;9838.52;0.86;Non-thermal sensitive
Bull_education_Barry;Summer workdays;24615.36;0.93;Non-thermal sensitive
Bull_education_Barry;Winter workdays;24380.43;0.93;Non-thermal sensitive
Bull_education_Brady;Summer workdays;843.07;0.52;Thermal sensitive
Bull_education_Brady;Winter workdays;947.29;0.47;Non-thermal sensitive
Bull_education_Brain;Summer workdays;8644.5;0.85;Non-thermal sensitive
Bull_education_Brain;Winter workdays;8977.57;0.84;Non-thermal sensitive
Bull_education_Brandi;Summer workdays;767.96;0.6;Non-thermal sensitive
Bull_education_Brandi;Winter workdays;802.18;0.57;Non-thermal sensitive
Bull_education_Brenda;Summer workdays;3539.29;0.85;Thermal sensitive
Bull_education_Brenda;Winter workdays;3704.01;0.82;Thermal sensitive
Bull_education_Bryon;Summer workdays;876.77;0.64;Thermal sensitive
Bull_education_Bryon;Winter workdays;947.45;0.63;Non-thermal sensitive
Bull_education_Carl;Summer workdays;15849.18;0.91;Non-thermal sensitive
Bull_education_Carl;Winter workdays;15380.93;0.9;Non-thermal sensitive
Bull_education_Clarice;Summer workdays;877.55;0.82;Non-thermal sensitive
Bull_education_Clarice;Winter workdays;788.4;0.89;Non-thermal sensitive
Bull_education_Clarita;Summer workdays;8500.34;0.84;Non-thermal sensitive
Bull_education_Clarita;Winter workdays;8716.38;0.83;Non-thermal sensitive
Bull_education_Dakota;Summer workdays;1510.38;0.55;Non-thermal sensitive
Bull_education_Dakota;Winter workdays;1490.99;0.52;Thermal sensitive
Bull_education_Dan;Summer workdays;4257.67;0.84;Non-thermal sensitive
Bull_education_Dan;Winter workdays;4496.82;0.82;Non-thermal sensitive
Bull_education_Dania;Summer workdays;977.29;0.83;Non-thermal sensitive
Bull_education_Dania;Winter workdays;1001.77;0.76;Non-thermal sensitive
Bull_education_Delia;Summer workdays;20503.48;0.88;Non-thermal sensitive
Bull_education_Delia;Winter workdays;20871.63;0.87;Non-thermal sensitive
Bull_education_Dora;Summer workdays;2966.33;0.64;Non-thermal sensitive
Bull_education_Dora;Winter workdays;3198.19;0.6;Non-thermal sensitive
Bull_education_Dottie;Summer workdays;31390.68;0.92;Non-thermal sensitive
Bull_education_Dottie;Winter workdays;28882.64;0.9;Non-thermal sensitive
Bull_education_Elva;Summer workdays;1444.53;0.81;Non-thermal sensitive
Bull_education_Elva;Winter workdays;1438.09;0.8;Non-thermal sensitive
Bull_education_Fabiola;Summer workdays;4779.02;0.7;Non-thermal sensitive
Bull_education_Fabiola;Winter workdays;4906.36;0.67;Non-thermal sensitive
Bull_education_Geneva;Summer workdays;903.68;0.72;Non-thermal sensitive
Bull_education_Geneva;Winter workdays;717.82;0.65;Non-thermal sensitive
Bull_education_Genie;Summer workdays;3084.52;0.67;Non-thermal sensitive
Bull_education_Genie;Winter workdays;3294.46;0.64;Non-thermal sensitive
Bull_education_Gregory;Summer workdays;2042.22;0.67;Thermal sensitive
Bull_education_Gregory;Winter workdays;1819.8;0.66;Non-thermal sensitive
Bull_education_Hayley;Summer workdays;4271.71;0.86;Thermal sensitive
Bull_education_Hayley;Winter workdays;4232.72;0.85;Non-thermal sensitive
Bull_education_Jae;Summer workdays;13021.84;0.91;Non-thermal sensitive
Bull_education_Jae;Winter workdays;12523.17;0.91;Non-thermal sensitive
Bull_education_Jeffery;Summer workdays;13830.05;1;Non-thermal sensitive
Bull_education_Jeffery;Winter workdays;13395.15;1;Non-thermal sensitive
Bull_education_Joseph;Summer workdays;2946.66;0.64;Non-thermal sensitive
Bull_education_Joseph;Winter workdays;3236.98;0.59;Non-thermal sensitive
Bull_education_Juan;Summer workdays;6121.71;0.65;Non-thermal sensitive
Bull_education_Juan;Winter workdays;5597.2;0.65;Non-thermal sensitive
Bull_education_Kendra;Summer workdays;11695.94;0.7;Thermal sensitive
Bull_education_Kendra;Winter workdays;12833.29;0.71;Non-thermal sensitive
Bull_education_Krista;Summer workdays;6557.09;0.66;Thermal sensitive
Bull_education_Krista;Winter workdays;6989.26;0.67;Non-thermal sensitive
Bull_education_Kristal;Summer workdays;9911.87;0.86;Non-thermal sensitive
Bull_education_Kristal;Winter workdays;9994.95;0.86;Non-thermal sensitive
Bull_education_Lenny;Summer workdays;874.89;0.81;Thermal sensitive
Bull_education_Lenny;Winter workdays;885.46;0.8;Non-thermal sensitive
Bull_education_Linnie;Summer workdays;4991.07;0.66;Non-thermal sensitive
Bull_education_Linnie;Winter workdays;5529.39;0.64;Thermal sensitive
Bull_education_Luke;Summer workdays;7255.57;0.74;Thermal sensitive
Bull_education_Luke;Winter workdays;8098.35;0.71;Non-thermal sensitive
Bull_education_Lydia;Summer workdays;3163.95;0.8;Non-thermal sensitive
Bull_education_Lydia;Winter workdays;2812.98;0.78;Non-thermal sensitive
Bull_education_Lyn;Summer workdays;657.84;0.83;Non-thermal sensitive
Bull_education_Lyn;Winter workdays;641.73;0.81;Non-thermal sensitive
Bull_education_Magaret;Summer workdays;1845.04;0.67;Non-thermal sensitive
Bull_education_Magaret;Winter workdays;2053.63;0.69;Non-thermal sensitive
Bull_education_Mario;Summer workdays;2554.37;0.56;Thermal sensitive
Bull_education_Mario;Winter workdays;2850.23;0.57;Non-thermal sensitive
Bull_education_Matilda;Summer workdays;1964.93;0.81;Non-thermal sensitive
Bull_education_Matilda;Winter workdays;2432.59;0.85;Thermal sensitive
Bull_education_Mervin;Summer workdays;4361.26;0.83;Non-thermal sensitive
Bull_education_Mervin;Winter workdays;4719.25;0.8;Non-thermal sensitive
Bull_education_Miquel;Summer workdays;6414.12;0.72;Thermal sensitive
Bull_education_Miquel;Winter workdays;6585.79;0.68;Non-thermal sensitive
Bull_education_Miranda;Summer workdays;3961.91;0.85;Non-thermal sensitive
Bull_education_Miranda;Winter workdays;4033.79;0.84;Non-thermal sensitive
Bull_education_Myra;Summer workdays;1166.93;0.72;Non-thermal sensitive
Bull_education_Myra;Winter workdays;1333.29;0.64;Non-thermal sensitive
Bull_education_Nichole;Summer workdays;5151.17;0.71;Thermal sensitive
Bull_education_Nichole;Winter workdays;5388.45;0.73;Non-thermal sensitive
Bull_education_Nina;Summer workdays;6429.01;0.85;Non-thermal sensitive
Bull_education_Nina;Winter workdays;6239.91;0.83;Non-thermal sensitive
Bull_education_Nolan;Summer workdays;1652.73;0.77;Thermal sensitive
Bull_education_Nolan;Winter workdays;1709.09;0.74;Non-thermal sensitive
Bull_education_Olive;Summer workdays;2148.23;0.57;Thermal sensitive
Bull_education_Olive;Winter workdays;1780.58;0.63;Non-thermal sensitive
Bull_education_Pablo;Summer workdays;1012.52;0.61;Non-thermal sensitive
Bull_education_Pablo;Winter workdays;1063.93;0.58;Non-thermal sensitive
Bull_education_Pamela;Summer workdays;4567.47;0.76;Non-thermal sensitive
Bull_education_Pamela;Winter workdays;4571.88;0.73;Thermal sensitive
Bull_education_Patrina;Summer workdays;454.91;0.69;Non-thermal sensitive
Bull_education_Patrina;Winter workdays;491.93;0.66;Non-thermal sensitive
Bull_education_Racheal;Summer workdays;14619.05;0.77;Non-thermal sensitive
Bull_education_Racheal;Winter workdays;14639.52;0.76;Non-thermal sensitive
Bull_education_Reina;Summer workdays;2214.67;0.73;Non-thermal sensitive
Bull_education_Reina;Winter workdays;2133.6;0.73;Thermal sensitive
Bull_education_Reynaldo;Summer workdays;827.2;0.69;Non-thermal sensitive
Bull_education_Reynaldo;Winter workdays;894.95;0.72;Non-thermal sensitive
Bull_education_Roland;Summer workdays;6112.78;0.67;Non-thermal sensitive
Bull_education_Roland;Winter workdays;5720.1;0.69;Non-thermal sensitive
Bull_education_Roseann;Summer workdays;6291.37;0.87;Non-thermal sensitive
Bull_education_Roseann;Winter workdays;6033.37;0.85;Non-thermal sensitive
Bull_education_Sebastian;Summer workdays;980.71;0.61;Non-thermal sensitive
Bull_education_Sebastian;Winter workdays;1037.72;0.58;Non-thermal sensitive
Bull_education_Shona;Summer workdays;4626.21;0.99;Thermal sensitive
Bull_education_Shona;Winter workdays;4550.35;0.99;Non-thermal sensitive
Bull_education_Stewart;Summer workdays;3102.43;0.84;Non-thermal sensitive
Bull_education_Stewart;Winter workdays;2903.77;0.83;Non-thermal sensitive
Bull_education_Summer;Summer workdays;809.13;0.78;Non-thermal sensitive
Bull_education_Summer;Winter workdays;816.35;0.71;Non-thermal sensitive
Bull_education_Tracey;Summer workdays;4733.7;0.67;Thermal sensitive
Bull_education_Tracey;Winter workdays;5107.52;0.66;Non-thermal sensitive
Bull_education_Venita;Summer workdays;976.02;0.76;Non-thermal sensitive
Bull_education_Venita;Winter workdays;955.22;0.71;Non-thermal sensitive
Bull_education_Violeta;Summer workdays;2705.14;0.64;Non-thermal sensitive
Bull_education_Violeta;Winter workdays;2781.97;0.63;Non-thermal sensitive
Cockatoo_education_Amira;Summer workdays;1404.89;0.88;Non-thermal sensitive
Cockatoo_education_Amira;Winter workdays;1011.65;0.87;Non-thermal sensitive
Cockatoo_education_Arlen;Summer workdays;137.5;1.68;Non-thermal sensitive
Cockatoo_education_Arlen;Winter workdays;189.06;1.34;Non-thermal sensitive
Cockatoo_education_Brendan;Summer workdays;1614.96;0.75;Non-thermal sensitive
Cockatoo_education_Brendan;Winter workdays;1709.58;0.75;Non-thermal sensitive
Cockatoo_education_Brigitte;Summer workdays;17681.3;0.75;Non-thermal sensitive
Cockatoo_education_Brigitte;Winter workdays;18026.94;0.76;Non-thermal sensitive
Cockatoo_education_Charity;Summer workdays;6256.13;0.87;Non-thermal sensitive
Cockatoo_education_Charity;Winter workdays;6540.74;0.88;Non-thermal sensitive
Cockatoo_education_Claudine;Summer workdays;1766.65;0.86;Non-thermal sensitive
Cockatoo_education_Claudine;Winter workdays;1896.92;0.86;Non-thermal sensitive
Cockatoo_education_Clifton;Summer workdays;32.15;0.87;Non-thermal sensitive
Cockatoo_education_Clifton;Winter workdays;33.31;0.88;Non-thermal sensitive
Cockatoo_education_Collin;Summer workdays;6267.17;0.72;Non-thermal sensitive
Cockatoo_education_Collin;Winter workdays;6748.97;0.73;Non-thermal sensitive
Cockatoo_education_Deloris;Summer workdays;139.89;0.74;Non-thermal sensitive
Cockatoo_education_Deloris;Winter workdays;140.82;0.74;Non-thermal sensitive
Cockatoo_education_Doreen;Summer workdays;2313.18;0.81;Non-thermal sensitive
Cockatoo_education_Doreen;Winter workdays;2313.96;0.79;Non-thermal sensitive
Cockatoo_education_Erik;Summer workdays;4327.49;0.81;Thermal sensitive
Cockatoo_education_Erik;Winter workdays;3949.37;0.83;Non-thermal sensitive
Cockatoo_education_Eunice;Summer workdays;9796.42;0.64;Non-thermal sensitive
Cockatoo_education_Eunice;Winter workdays;10339.79;0.7;Non-thermal sensitive
Cockatoo_education_Flora;Summer workdays;21200.76;0.96;Non-thermal sensitive
Cockatoo_education_Flora;Winter workdays;20664.55;0.96;Non-thermal sensitive
Cockatoo_education_Gussie;Summer workdays;2264.15;0.66;Non-thermal sensitive
Cockatoo_education_Gussie;Winter workdays;2302.39;0.67;Non-thermal sensitive
Cockatoo_education_Helene;Summer workdays;2505.93;0.85;Non-thermal sensitive
Cockatoo_education_Helene;Winter workdays;2829.75;0.84;Non-thermal sensitive
Cockatoo_education_Jack;Summer workdays;180.82;0.6;Non-thermal sensitive
Cockatoo_education_Jack;Winter workdays;190.24;0.59;Non-thermal sensitive
Cockatoo_education_Janet;Summer workdays;25658.65;0.83;Thermal sensitive
Cockatoo_education_Janet;Winter workdays;23341.31;0.83;Non-thermal sensitive
Cockatoo_education_Joeann;Summer workdays;4347.2;0.56;Non-thermal sensitive
Cockatoo_education_Joeann;Winter workdays;4529.25;0.57;Non-thermal sensitive
Cockatoo_education_Joel;Summer workdays;391.43;0.81;Thermal sensitive
Cockatoo_education_Joel;Winter workdays;365.36;0.79;Non-thermal sensitive
Cockatoo_education_Jon;Summer workdays;2462.83;0.78;Non-thermal sensitive
Cockatoo_education_Jon;Winter workdays;2993.53;0.68;Non-thermal sensitive
Cockatoo_education_Julia;Summer workdays;819.03;0.82;Non-thermal sensitive
Cockatoo_education_Julia;Winter workdays;880.88;0.79;Non-thermal sensitive
Cockatoo_education_Julio;Summer workdays;3941.87;0.98;Thermal sensitive
Cockatoo_education_Julio;Winter workdays;4470.34;0.92;Non-thermal sensitive
Cockatoo_education_June;Summer workdays;2647.03;0.77;Non-thermal sensitive
Cockatoo_education_June;Winter workdays;2528.6;0.76;Non-thermal sensitive
Cockatoo_education_Laurence;Summer workdays;1761.75;0.74;Non-thermal sensitive
Cockatoo_education_Laurence;Winter workdays;2050.36;0.7;Non-thermal sensitive
Cockatoo_education_Lionel;Summer workdays;7815.41;0.85;Non-thermal sensitive
Cockatoo_education_Lionel;Winter workdays;8544.23;0.85;Non-thermal sensitive
Cockatoo_education_Magdalena;Summer workdays;255.68;0.75;Non-thermal sensitive
Cockatoo_education_Magdalena;Winter workdays;280.61;1.14;Non-thermal sensitive
Cockatoo_education_Marva;Summer workdays;5430.12;0.76;Non-thermal sensitive
Cockatoo_education_Marva;Winter workdays;5523.41;0.77;Non-thermal sensitive
Cockatoo_education_Maynard;Summer workdays;503.06;0.91;Non-thermal sensitive
Cockatoo_education_Maynard;Winter workdays;559.99;0.8;Non-thermal sensitive
Cockatoo_education_Mayra;Summer workdays;1588.89;0.63;Non-thermal sensitive
Cockatoo_education_Mayra;Winter workdays;1976.17;0.72;Thermal sensitive
Cockatoo_education_Melanie;Summer workdays;406.03;0.65;Non-thermal sensitive
Cockatoo_education_Melanie;Winter workdays;527.84;0.67;Non-thermal sensitive
Cockatoo_education_Minh;Summer workdays;1119.49;0.9;Non-thermal sensitive
Cockatoo_education_Minh;Winter workdays;1103.42;0.92;Non-thermal sensitive
Cockatoo_education_Nelda;Summer workdays;2716.25;0.84;Non-thermal sensitive
Cockatoo_education_Nelda;Winter workdays;2961.52;0.87;Non-thermal sensitive
Cockatoo_education_Oliver;Summer workdays;4349.68;0.78;Non-thermal sensitive
Cockatoo_education_Oliver;Winter workdays;4068.12;0.77;Non-thermal sensitive
Cockatoo_education_Orlando;Summer workdays;5706.75;0.77;Non-thermal sensitive
Cockatoo_education_Orlando;Winter workdays;6082.78;0.71;Non-thermal sensitive
Cockatoo_education_Rita;Summer workdays;341.52;0.6;Non-thermal sensitive
Cockatoo_education_Rita;Winter workdays;365.54;0.56;Non-thermal sensitive
Cockatoo_education_Shawn;Summer workdays;2992.81;0.77;Non-thermal sensitive
Cockatoo_education_Shawn;Winter workdays;3245.86;0.81;Non-thermal sensitive
Cockatoo_education_Sheryl;Summer workdays;859.91;1.1;Non-thermal sensitive
Cockatoo_education_Sheryl;Winter workdays;1016.88;1.05;Non-thermal sensitive
Cockatoo_education_Terrence;Summer workdays;10905.87;0.87;Non-thermal sensitive
Cockatoo_education_Terrence;Winter workdays;11313.73;0.84;Non-thermal sensitive
Cockatoo_education_Tyler;Summer workdays;18338.02;0.91;Non-thermal sensitive
Cockatoo_education_Tyler;Winter workdays;18422.22;0.91;Non-thermal sensitive
Fox_education_Andre;Summer workdays;11626.3;0.84;Non-thermal sensitive
Fox_education_Andre;Winter workdays;11468.27;0.85;Non-thermal sensitive
Fox_education_Ashli;Summer workdays;533.31;0.95;Non-thermal sensitive
Fox_education_Ashli;Winter workdays;509.85;0.81;Non-thermal sensitive
Fox_education_Burton;Summer workdays;1151.4;0.98;Non-thermal sensitive
Fox_education_Burton;Winter workdays;1188.08;0.93;Non-thermal sensitive
Fox_education_Carleen;Summer workdays;3535.68;0.73;Non-thermal sensitive
Fox_education_Carleen;Winter workdays;2280.88;0.65;Thermal sensitive
Fox_education_Charles;Summer workdays;498.51;0.78;Thermal sensitive
Fox_education_Charles;Winter workdays;299.4;0.81;Thermal sensitive
Fox_education_Claire;Summer workdays;1479.71;0.55;Non-thermal sensitive
Fox_education_Claire;Winter workdays;1670.55;0.59;Non-thermal sensitive
Fox_education_Claude;Summer workdays;23498.01;0.96;Non-thermal sensitive
Fox_education_Claude;Winter workdays;23966.51;0.96;Non-thermal sensitive
Fox_education_Cynthia;Summer workdays;5229.73;0.95;Non-thermal sensitive
Fox_education_Cynthia;Winter workdays;5748.7;0.96;Thermal sensitive
Fox_education_Delma;Summer workdays;2269.03;0.1;Non-thermal sensitive
Fox_education_Delma;Winter workdays;1577.37;0.26;Non-thermal sensitive
Fox_education_Dewayne;Summer workdays;2171.06;0.59;Non-thermal sensitive
Fox_education_Dewayne;Winter workdays;1937.39;0.55;Non-thermal sensitive
Fox_education_Dominique;Summer workdays;4547.31;0.8;Non-thermal sensitive
Fox_education_Dominique;Winter workdays;4500.56;0.82;Non-thermal sensitive
Fox_education_Eddy;Summer workdays;6806.19;0.94;Thermal sensitive
Fox_education_Eddy;Winter workdays;7979.11;0.92;Non-thermal sensitive
Fox_education_Eldon;Summer workdays;4982.39;0.94;Non-thermal sensitive
Fox_education_Eldon;Winter workdays;4814.58;0.95;Non-thermal sensitive
Fox_education_Elois;Summer workdays;288.39;0.74;Non-thermal sensitive
Fox_education_Elois;Winter workdays;292.69;0.77;Non-thermal sensitive
Fox_education_Elvira;Summer workdays;4110.27;0.62;Non-thermal sensitive
Fox_education_Elvira;Winter workdays;4758.6;0.64;Thermal sensitive
Fox_education_Etta;Summer workdays;5800.04;0.87;Thermal sensitive
Fox_education_Etta;Winter workdays;3931.4;0.92;Non-thermal sensitive
Fox_education_Geoffrey;Summer workdays;2826.96;0.87;Non-thermal sensitive
Fox_education_Geoffrey;Winter workdays;2929.48;0.86;Non-thermal sensitive
Fox_education_Gloria;Summer workdays;15746.89;0.93;Non-thermal sensitive
Fox_education_Gloria;Winter workdays;15793.54;0.95;Non-thermal sensitive
Fox_education_Henrietta;Summer workdays;1161.71;0.82;Non-thermal sensitive
Fox_education_Henrietta;Winter workdays;884.42;0.84;Thermal sensitive
Fox_education_Heriberto;Summer workdays;925.77;0.58;Non-thermal sensitive
Fox_education_Heriberto;Winter workdays;867.97;0.59;Non-thermal sensitive
Fox_education_Jaclyn;Summer workdays;4673.63;0.92;Non-thermal sensitive
Fox_education_Jaclyn;Winter workdays;4694.27;0.94;Non-thermal sensitive
